Player,Position,Team,Salary
Tarik Black,PF,Houston Rockets,3.29
Anthony Tolliver,PF,Detroit Pistons,3.29
Dennis Smith Jr.,PG,Dallas Mavericks,3.21828
Zach LaVine,PG,Chicago Bulls,3.202218
Ekpe Udoh,C,Utah Jazz,3.2
TJ Warren,SF,Phoenix Suns,3.152931
Stanley Johnson,SF,Detroit Pistons,3.0978
Marquese Chriss,PF,Phoenix Suns,3.0738
Zach Collins,C,Portland Trail Blazers,3.05724
James Ennis III,SF,Memphis Grizzlies,3.02841
Seth Curry,SG,Dallas Mavericks,3.02841
Mindaugas Kuzminskas,SF,New York Knicks,3.025035
Tomas Satoransky,SG,Washington Wizards,3
Justin Hamilton,C,Toronto Raptors,3
Tibor Pleiss,C,Philadelphia 76ers,3
Lucas Nogueira,C,Toronto Raptors,2.947305
Jusuf Nurkic,C,Portland Trail Blazers,2.947305
Malik Monk,SG,Charlotte Hornets,2.90448
Frank Kaminsky,PF,Charlotte Hornets,2.8476
Jakob Poeltl,C,Toronto Raptors,2.82564
Luke Kennard,SG,Detroit Pistons,2.75928
Justise Winslow,SF,Miami Heat,2.70504
Michael Carter-Williams,PG,Charlotte Hornets,2.7
Thon Maker,C,Milwaukee Bucks,2.68416
Cedi Osman,SF,Cleveland Cavaliers,2.642857
Donovan Mitchell,SG,Utah Jazz,2.62128
Myles Turner,C,Indiana Pacers,2.56992
Gary Harris,SG,Denver Nuggets,2.550055
Domantas Sabonis,C,Indiana Pacers,2.55
Reggie Bullock,SG,Detroit Pistons,2.5
Manu Ginobili,SG,San Antonio Spurs,2.5
Malcolm Delaney,PG,Atlanta Hawks,2.5
Bam Adebayo,C,Miami Heat,2.49036
Bruno Caboclo,SF,Toronto Raptors,2.451225
Trey Lyles,PF,Denver Nuggets,2.4414
Dario Saric,PF,Philadelphia 76ers,2.42256
Taurean Prince,SF,Atlanta Hawks,2.42256
Rodney Hood,SG,Utah Jazz,2.386864
Justin Jackson,SF,Sacramento Kings,2.36556
Shabazz Napier,PG,Portland Trail Blazers,2.36136
Clint Capela,C,Houston Rockets,2.334528
Devin Booker,SG,Phoenix Suns,2.31936
Dante Cunningham,SF,Brooklyn Nets,2.3
Justin Patton,C,Minnesota Timberwolves,2.24748
Guerschon Yabusele,PF,Boston Celtics,2.24748
Cameron Payne,PG,Chicago Bulls,2.20344
Mo Williams,PG,Denver Nuggets,2.1945
Denzel Valentine,SF,Chicago Bulls,2.1864
Sean Kilpatrick,SG,Brooklyn Nets,2.163006
Kyle Anderson,SF,San Antonio Spurs,2.151704
D.J. Wilson,PF,Milwaukee Bucks,2.13504
Darius Miller,SF,New Orleans Pelicans,2.1
Kelly Oubre Jr.,SF,Washington Wizards,2.09304
Juan Hernangomez,PF,Denver Nuggets,2.07684
Kendall Marshall,PG,Milwaukee Bucks,2.048257
T.J. Leaf,PF,Indiana Pacers,2.02836
Tim Frazier,PG,Washington Wizards,2
Terry Rozier,PG,Boston Celtics,1.98852
Kevin Seraphin,C,Indiana Pacers,1.974159
John Collins,PF,Atlanta Hawks,1.93692
Rashad Vaughn,SG,Orlando Magic,1.88904
Harry Giles,PF,Sacramento Kings,1.8594
Sam Dekker,SF,LA Clippers,1.7946
Terrance Ferguson,SG,Oklahoma City Thunder,1.785
Henry Ellenson,PF,Detroit Pistons,1.7808
Eric Moreland,PF,Detroit Pistons,1.739333
Jerian Grant,PG,Chicago Bulls,1.71384
Jarrett Allen,C,Brooklyn Nets,1.71372
Quincy Acy,SF,Brooklyn Nets,1.709538
Tyler Zeller,C,Brooklyn Nets,1.709538
Malik Beasley,SG,Denver Nuggets,1.70064
Delon Wright,PG,Toronto Raptors,1.6452
OG Anunoby,SF,Toronto Raptors,1.6452
Ante Zizic,PF,Cleveland Cavaliers,1.6452
Caris LeVert,SG,Brooklyn Nets,1.63248
Justin Anderson,SG,Philadelphia 76ers,1.57944
Tyler Lydon,PF,Denver Nuggets,1.57944
Ryan Kelly,PF,Atlanta Hawks,1.57723
Shabazz Muhammad,SG,Minnesota Timberwolves,1.57723
Archie Goodwin,SG,Portland Trail Blazers,1.57723
Jeff Withey,C,Dallas Mavericks,1.57723
DeAndre\' Bembry,SF,Atlanta Hawks,1.5672
Caron Butler,SF,Sacramento Kings,1.551659
